,Name,URL,length (# available seq members leq 200),cathegory (trivial [T]/exists [E]/hard [H]),ground truth,"Diofantos [disco., outputed]",SINDy
A008275,Triangle read by rows of Stirlings,https://oeis.org/A008275,200,H,no,,
A008277,Triangle of Stirlings kind 2,https://oeis.org/A008277,200,H,no,,
A008279,"Triangle T(n,k) = n!/(n-k)!",https://oeis.org/A008279,200,H,no,,
A008292,Triangle of Eulerian numbers ,https://oeis.org/A008292,200,H,no,,
A008683,Möbius function mu(n),https://oeis.org/A008683,200,E,Sum_{d|n} mu(d) = 0,,
A010060,Thue-Morse sequence,https://oeis.org/A010060,200,E,"a(2n) = a(n), a(2n+1) = 1 - a(n)",,
A018252,	The nonprime numbers,https://oeis.org/A018252,200,H,no,,
A020639,least prime dividing n ,https://oeis.org/A020639,200,H,no,,
A020652,Numerators in Z+ to Q+,https://oeis.org/A020652,200,H,no,,
A020653,Denominators in a bijection from Z+ to Q+,https://oeis.org/A020653,200,H,no,,
A025487,,https://oeis.org/A025487,200,,,,
A027641,,https://oeis.org/A027641,200,,,,
A027642,,https://oeis.org/A027642,200,,,,
A035099,,https://oeis.org/A035099,200,,,,
A038566,,https://oeis.org/A038566,200,,,,
A038567,,https://oeis.org/A038567,200,,,,
A038568,,https://oeis.org/A038568,200,,,,
A038569,,https://oeis.org/A038569,200,,,,
A049310,,https://oeis.org/A049310,200,,,,
A055512,Lattices with n labeled elements,https://oeis.org/A055512,20,hard,no.,"no, prolly overfit: "" A055512 .. h .. a(n) = -1105472571399536518*a(n - 6)**2 + 3588308353318391503*a(n - 6)*a(n - 5) + 2224863515319969013*a(n - 6)*a(n - 4) - 1694872272832474807*a(n - 6)*a(n - 3) + 591752402704155245*a(n - 6)*a(n - 2) - 27317905897404479*a(n - 6)*a(n - 1) + 596594399922541876*a(n - 6) - 1265421825004137781*a(n - 5)**2 - 1007454242957500909*a(n - 5)*a(n - 4) + 1029172703958521086*a(n - 5)*a(n - 3) + 238195649422380681*a(n - 5)*a(n - 2) - 34707715623429843*a(n - 5)*a(n - 1) - 4377029257165658714*a(n - 5) - 1634489814979823823*a(n - 4)**2 + 751661964429027137*a(n - 4)*a(n - 3) + 244422938141221588*a(n - 4)*a(n - 2) + 7047688110885070*a(n - 4)*a(n - 1) + 1450732398362333246*a(n - 4) - 405985400962523687*a(n - 3)**2 - 9102581589174365*a(n - 3)*a(n - 2) + 71567114840199*a(n - 3)*a(n - 1) - 4244036423426031890*a(n - 3) - 73380820839107*a(n - 2)**2 + 207080477*a(n - 2)*a(n - 1) + 367891146668910673*a(n - 2) - 65861*a(n - 1)**2 - 12494149647337042*a(n - 1) + 2957334332811867422"",",
A070939,,https://oeis.org/A070939,200,,,,
A074206,Kalmár's problem,https://oeis.org/A074206,200,exists?,a_n = [x^n] Sum_{k=1..n-1} a_k * x^k/(1 - x^k),,
A104725,complementing systems of subsets of [n-1].,https://oeis.org/A104725,200,hard,no,,
A226898,Hooley's Delta function,https://oeis.org/A226898,200,hard,no,,
A246655,Prime powers,https://oeis.org/A246655,200,hard,no,,
,,,Trivial:,,,,
,,,exists:,,,,
,,,hard:,,,,
